Opportunity Name,Sponsoring Organization/Funder,Funding/Salary/Benefit,Summary,Application Deadline,Target Sector/Beneficiaries,Eligibility,Geographic Focus,Consortium/Partnership Notes,Source Link,End Summary,Status,Date Added,Track (AI),Track (Editor),Notes
CREA-MEDIA 2026 – Markets & Networking,European Commission / Creative Europe MEDIA,"Supports collaboration and networking among audiovisual and media organisations to strengthen Europe’s creative sectors, share best practices, and promote cross-border co-production and distribution. The call helps European media professionals build partnerships and expand markets.",EU funding covers up to 70 % of eligible costs (total budget ≈ €16.5 million).,20 January 2026 (17:00 CET),Legal entities from Creative Europe Programme countries (EU Member States + eligible EEA countries). Applicants must operate in the audiovisual/media domain with at least two years of activity.,Audiovisual & media organisations,Europe / EEA region,Cross-border partnerships are mandatory. Joint applications from multiple countries preferred.,https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/crea/wp-call/2026/call-fiche_crea-media-2026-marketnet_en.pdf,One of the main Creative Europe MEDIA calls continuing into 2026; key for European audiovisual networking and innovation.,Approved,,,,
CREA-CULT-2026-LIT,European Commission (Creative Europe CULTURE),"Encourages translation, promotion and distribution of European literary works across borders to increase accessibility.","Up to €300,000 per project; co-financing 60%-80% based on project scale.",29 January 2026,Legal entities in Creative Europe countries active in publishing/translation.,"Publishers, translators, literary organizations.",EU + Creative Europe participating countries.,Consortiums not required; both single and multi-beneficiary options available.,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-CULT-2026-LIT?isExactMatch=true&status=31094501,31094502,31094503&programmePeriod=2021%20-%202027&frameworkProgramme=43251814&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",Enhances diversity and cross-border access to European literary culture.,Approved,,,,
Nieman Fellowship (U.S.),Nieman Foundation,"Fellowship for journalists (print, broadcast, digital) to spend time at Harvard University to work on a project of innovation or reporting depth.",Information Not Available,2026-01-31 (U.S.),"Journalists working in media, globally; specific eligibility vary by track",Journalists,Global,Individual applications,https://newsfuel.org/opportunity/nieman-fellowship-u-s-citizens/,A prestigious opportunity for journalists seeking a serious sabbatical/fellowship year.,Approved,,,,
JAWS Health Journalism Fellowship 2026,Journalism & Women Symposium (JAWS),"Fellowship for early-career women journalists in the U.S. focused on advancing reporting on public health, equity, and women’s wellbeing.","~$4,000 stipend, mentorship, training workshops",Dec 5 2025,Women-identifying U.S. journalists with 2–7 years of professional experience,Health / Science journalists,United States,Individual cohort training,https://www.jaws.org/news/call-for-applications-journalism-amp-women-symposium-jaws-2026-health-reporting-fellowship,"Builds skills and visibility for women covering underreported health and equity issues, strengthening representation in health media.",Approved,,,,
Pascal Decroos Fund,Journalismfund Europe,Funds investigative journalism in Dutch-language media in Belgium.,Information Not Available,2025-11-13,Individual journalists (natural persons) in Belgium,Journalists and media in Belgium,Belgium (Dutch-language only),No partnership required,https://grants.journalismfund.eu/en/pascal-decroos-fund,Good fit for solo reporters in Dutch-language Belgian media.,Approved,,,,
Driehaus Foundation Grant for Investigative Journalism,Richard H. Driehaus Foundation,"Grant support for local-level investigative reporting fostering transparency, accountability and effectiveness in public institutions.",Information Not Available,2025-12-05,Journalists and news organisations doing investigative journalism at local level,Journalists / Newsrooms,United States (local),Information Not Available,https://newsfuel.org/opportunity/driehaus-foundation-grants/,Good fit for journalists looking to conduct deep investigations with funding support.,Approved,,,,
Professional Development Grants for Environmental Journalism,Journalismfund Europe,Supports organisations running training or development activities in environmental journalism across Europe.,"Approx. €75,000 per call",2026-01-22,"Legal entities only (e.g., media orgs, CSOs, universities); individuals not eligible","Journalism training providers, media support orgs",Europe,No cross-border requirement; must serve environmental journalism,https://grants.journalismfund.eu/en/professional-development-grants-environmental-journalism,Ideal for institutions fostering environmental journalism capacity.,Approved,,,,
Widening the Pipeline Fellowship 2026,National Press Foundation (NPF),"A 12-month mentoring and leadership fellowship to train journalists of color for senior newsroom positions, including executive coaching and peer learning.","Fully funded training program with travel, mentoring, and workshops",Dec 14 2025,U.S.-based journalists of color in early-to-mid careers (≤7 years experience),Journalists / Media professionals,United States,Individual mentoring cohort,https://nationalpress.org/training/widening-the-pipeline-fellowship-2026-journalists-of-color/,Designed to diversify newsroom leadership pipelines and strengthen inclusive editorial decision-making across U.S. media.,Approved,,,,
2026–2028 Reporting Fellowship,Allbritton Journalism Institute (AJI),"A 2-year fellowship in Washington, D.C., providing early-career journalists immersive classroom training and practical newsroom experience in public affairs and accountability reporting.","Approx. $60,000/year salary","February 18, 2026 at 11:59pm ET",Open to early-career journalists; no journalism degree or experience required.,Early-career journalists,United States,No consortium requirement,https://aji.org/application-for-the-2026-2028-reporting-fellowship/,Prestigious fellowship combining academic and field journalism experience in D.C.,Approved,,,,
Newsroom Fellowship,The New York Times,"One-year full-time paid fellowship in various newsroom departments for early-career journalists. Positions in NY, D.C., SF, and London.","Estimated $82,000 salary (previous cohort)","November 19, 5 p.m. Eastern Time",Recent grads or early-career journalists; must be authorized to work in U.S. or U.K.,Early-career journalists,"United States, United Kingdom",No consortium requirement,https://www.nytco.com/careers/newsroom/newsroom-fellowship/,NYT offers this elite fellowship to foster future newsroom leaders.,Approved,,,,
Alfred Friendly Press Partners Fellowship 2026,Alfred Friendly Press Partners,"A U.S.-based newsroom fellowship for exiled or international journalists to strengthen reporting, resilience, and press freedom capacity.","Paid fellowship with stipend, housing, and travel support",Open Now (2026 cycle),Exiled or international journalists committed to independent reporting,Journalists under threat / Exiled reporters,Global (primarily U.S.-based residency),Individual; no consortium required,https://www.presspartners.org/blog/applications-for-2026-fellowship-program-are-open/,Fellows receive newsroom placements and mentorship aimed at sustaining democratic media under pressure.,Approved,,,,
GIJN Webinar: Tips and Tools for Uncovering Online Scams,Global Investigative Journalism Network (GIJN),"A free online webinar that brings investigative journalists together from around the world to learn practical strategies and tools to track, verify, and report on online scams — including phishing, social-engineering, fraud networks and financial flows.",Non-monetary benefit: access to training / knowledge share. No specific stipend or grant mentioned.,"Webinar: Tuesday, October 28, 2025",Journalists (especially investigative reporters) globally.,Investigative journalists and newsroom practitioners.,Global,Information Not Available,https://gijn.org/event/webinar-tips-uncovering-online-scams/,This free GIJN-hosted webinar offers journalists worldwide a chance to sharpen their investigative skills in exposing and reporting online scams — no fee or formal application process mentioned.,Approved,,,,
Media Grants to Support Coverage of Countries’ Progress Toward the 30×30 Marine Conservation Target 2026,Earth Journalism Network (EJN) / Internews,Grants to media newsrooms and organisations in coastal countries to support in-depth reporting and training on the biodiversity/ marine 30 × 30 target.,"Up to USD 10,000 each",24 Nov 2025 (11:59 PM Pacific/Niue),Media organisations/newsrooms in coastal countries (with a marine border); English or Spanish language.,Journalists / newsrooms covering marine conservation,"Coastal countries (priority: Ghana, Mexico, Philippines)",No explicit consortium requirement beyond organisation eligibility.,https://earthjournalism.net/opportunities/media-grants-to-support-coverage-of-countries-progress-toward-the-30x30-marine,High-quality reporting opportunity for coastal-country media outlets on the 30×30 biodiversity goal.,Approved,,,,
Global Grants 2026 (Employees of Media Organisations),Public Media Alliance (PMA) & Grace Wyndham Goldie (BBC) Trust,"Grants enabling staff of PMA-member media organisations to undertake international learning, exchange, or capacity-building visits to other member outlets.","Up to £2,000 per grant","Opens Nov 4, 2025 – Closes Dec 16, 2025",Staff members of PMA-member organisations employed for at least two years.,Media organisations / public service media,Global,Individual applicants represent their organisations; consortium not required.,https://www.publicmediaalliance.org/resources/grants-opportunities/pma-global-grant/,Designed to strengthen cross-border collaboration and skills transfer between public media professionals.,Approved,,,,
Global Reporting Grants,Pulitzer Center,"Open-call grants for freelance or staff journalists to pursue in-depth, under-reported global stories across any media format.","Typically USD 5,000–10,000 per project",Rolling (no fixed deadline),"Reporters, photographers, radio/audio journalists, and documentary filmmakers worldwide.",Investigative and enterprise journalism,Global,Individual applications only,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/global-reporting-grants,"Flexible global grant supporting impactful, cross-border journalism projects.",Approved,,,,
RCDIJ Africa Fund,Ripples Centre for Data and Investigative Journalism (RCDIJ) / Global Forum for Media Development (GFMD),"The RCDIJ Africa Fund supports small to mid-scale data-driven and investigative journalism projects across Africa. Focus areas include governance, environment, health, migration, democracy, and technology.","Up to USD 10,000 per project",Rolling (No fixed deadline),"Individual journalists (freelancers or staff) from any African country, working in print, online, radio, television, or photojournalism.",Investigative and data journalism,Africa,Individual applications only; consortium not required.,https://gfmd.info/fundings/rcdij-africa-fund/,"A pan-African journalism grant that empowers local journalists to pursue impactful, data-based investigations on key social issues.",Approved,,,,
LINA Micro-Grants,Local & Independent News Association (Australia),"Small grants to support public-interest journalism from local/independent newsrooms in Australia; themes include court reporting, solutions journalism, investigative stories.","Up to A$2,000 per grant (commonly A$500–A$750)",Information Not Available (rolling calls / periodic),Australian-based newsrooms (LINA members); story must be published within 3 months of grant,Journalists through LINA member newsrooms,Australia,No consortium required,https://lina.org.au/for-newsrooms/grants-and-funding/microgrants/,"Newsroom-linked support for small‑scale, public-interest stories across Australia.",Approved,,,,
Southern Africa Accountability Journalism Program- for Newsrooms,(SA|AJP) Grant for Newsrooms,Supports investigative journalism projects led by newsrooms that expose abuses of power or failures of accountability; includes mentoring from experienced editors.,"USD 3,000 per newsroom (3 grants available)",2025-11-21,"Editors or journalists affiliated with established newsrooms in South Africa, eSwatini, Lesotho, Botswana, Namibia, Zimbabwe, or Mozambique",Journalists / Media Organizations,Southern Africa,No consortium required; newsroom must lead the application,https://henrynxumalofoundation.co.za/sa-ajp-2/,Supports Southern African newsrooms in producing impactful investigative journalism with financial and editorial backing.,Approved,,,,
EU–Canada Young Journalist Fellowship,Canadian Association of Journalists / EU Delegation to Canada,Fully funded study tour for Canadian journalists to explore EU institutions and media in Brussels.,"Travel, accommodation, study tour expenses + 1-year CAJ membership",Implied deadline before 2025-11-17 (tour is week of 17 Nov 2025); application open now,Young Canadian journalists; must submit samples and demonstrate interest in EU–Canada relations,Early-career Journalists,Canada,No consortium required,https://caj.ca/programs/awards/fellowships-scholarships/,International exposure fellowship for Canadian journalists; open now but deadline not precisely stated.,Approved,,,,
Africa Reporting Grants,Pulitzer Center,"Supports reporting from and about Africa, emphasizing underreported regional issues.",Variable project-based funding.,Variable project-based funding.,Journalists based in or reporting on Africa.,Investigative/Development journalism,Africa,NA,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/underreported-stories-africa,Focuses on African-led investigative storytelling.,Approved,,,,
Widening the Pipeline Fellowship 2026,National Press Foundation,"Training-fellowship for U.S.-based journalists of colour, involving virtual + in-person sessions in Washington, D.C.; while more training-oriented, could support service design or newsroom product-thinking as part of professional development.",Travel/hotel for in-person session + training support (specific stipend not detailed).,Travel/hotel for in-person session + training support (specific stipend not detailed).,Journalists (U.S.-based) of colour working in print/TV/radio/online media.,"Journalists, newsroom professionals",U.S. only,Individual applicants; training format rather than full product-development but relevant for innovation capacity building.,https://nationalpress.org/fellowships/widening-the-pipeline-fellowship/,Good for individual journalists building capacity in innovation or service-design within newsrooms.,Approved,,,,
Machine Learning Reporting Grant,Pulitzer Center,"Funds projects investigating AI systems, algorithms, data bias, and automation impacts.",Varies per proposal; covers research and data analysis.,Varies per proposal; covers research and data analysis.,Journalists or teams investigating technology and AI.,Investigative/Tech journalism,Global,NA,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/machine-learning-reporting-grants,Focuses on transparency and ethics in AI reporting.,Approved,,,,
Transparency and Governance Reporting Grant,Pulitzer Center,"Encourages reporting on corruption, transparency, and accountability at all levels of governance.",Variable funding for reporting and research.,Variable funding for reporting and research.,Freelancers or newsroom reporters focusing on corruption and governance.,Investigative journalism,Global,NA,https://pulitzercenter.org/transparency-governance-reporting-grants,Aims to strengthen accountability journalism globally.,Approved,,,,
U.S. Local News Reporting Grants,Pulitzer Center,Strengthens accountability and investigative journalism in underserved U.S. regions.,Variable project funding for local investigations.,Variable project funding for local investigations.,Journalists or local newsrooms in the U.S.,Investigative journalism,United States,NA,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/us-local-news-reporting-grants,Supports local journalists covering critical civic and policy issues.,Approved,,,,
Global Health Reporting Grant,Pulitzer Center,"Funds coverage on global health challenges, epidemics, healthcare inequities, and systemic solutions.",Custom grant amount based on project proposal.,Custom grant amount based on project proposal.,Journalists worldwide covering public health or human rights.,Health/Investigative journalism,Global,NA,https://pulitzercenter.org/global-health-inequities-risks-and-solutions,Encourages in-depth health reporting on marginalized populations.,Approved,,,,
HEAL Fellowship,Solutions Journalism Network,"A year-long fellowship supporting U.S. journalists to deliver projects that address youth mental health using solutions journalism. Fellows will report on youth mental health solutions, engage youth audiences, and assess the impact of their work.","Up to USD $5,000 honorarium","Up to USD $5,000 honorarium",U.S.-based journalists able to execute solutions journalism projects focused on youth mental health.,Journalists (individuals),United States,Information Not Available,https://www.solutionsjournalism.org/events/apply-now-heal-fellowship-3,"Offers training, funding, and support for U.S. journalists focused on youth mental health solutions reporting.",Approved,,,,
Fund for Investigative Journalism (FIJ) Regular Grants,Fund for Investigative Journalism,"Grants supporting independent or staff journalists producing investigative stories exposing wrongdoing (print, audio, video, or digital).","Up to US$10,000 (regular); seed grants up to US$2,500.","Up to US$10,000 (regular); seed grants up to US$2,500.",Freelance or staff journalists worldwide (U.S. focus).,Journalism; investigative reporting,Global / U.S. emphasis,None,https://fij.org/apply-for-a-grant/,"Strong option for investigative projects needing travel, records, or research funding.",Approved,,,,
Fellowship for Early-Career Investigative Journalists (Hearst Journalism Fellowship 2026),Hearst Newspapers / SFGate,"Two-year, paid fellowship rotating across U.S. Hearst newsrooms for early-career reporters to develop investigative and multimedia skills.",Full-time salary + newsroom experience.,Full-time salary + newsroom experience.,Early-career journalists or recent graduates (U.S. based).,Journalism; newsroom training,U.S.,"Individual fellowship, no consortium.",https://careerengagement.tulane.edu/jobs/san-francisco-chronicle-sfgate-2026-national-hearst-journalism-fellowship-program/,Pathway program for emerging reporters to gain multi-newsroom experience.,Approved,,,,
Tyler Prize Media Fellowship,Science & Environmental Health Network / Tyler Prize Foundation,"Fellowship for journalists covering environment, science, or policy; includes travel to Amsterdam and participation in Tyler Prize events.","Travel, accommodation, event access (value not specified).","Travel, accommodation, event access (value not specified).",Professional journalists worldwide with environment/science focus.,Journalism; environmental/science reporting,Global,None,https://www.tylerprize.org/media-fellowship,Enables journalists to engage with global environmental thought leaders.,Approved,,,,
RCDIJ Africa Fund,Ripples Centre for Data and Investigative Journalism (RCDIJ),"Grant programme supporting data and investigative journalism projects on health, democracy, environment and technology.","Up to US $10,000 per project (average US $5k–10k).","Up to US $10,000 per project (average US $5k–10k).","Individual journalists (freelance or staff) in Africa across all formats (print, digital, broadcast, photo, multimedia).",Investigative & data journalism,Africa,No consortium requirement; individual applications only.,https://gfmd.info/fundings/rcdij-africa-fund/,Flexible funding source for African reporters pursuing investigative or data-driven projects.,Approved,,,,
Michael Elliott Award for Excellence in African Storytelling 2026,International Center for Journalists (ICFJ) & ONE Campaign,Recognizes emerging African journalists producing impactful stories on social change and transformation.,"Up to US $5,000 + professional development + global newsroom mentorship.","Up to US $5,000 + professional development + global newsroom mentorship.","Journalists based in Africa with ≤ 10 years experience; any medium (print, broadcast, digital).",Journalism & storytelling,Africa,Individual entry; no consortium required.,https://www.icfj.org/our-work/michael-elliott-award-excellence-african-storytelling,Prestigious award supporting storytelling excellence and professional growth across Africa.,Approved,,,,
Train-the-Trainers (December 2025 Cohort),Solutions Journalism Network,"A five-day online program designed to equip journalists, educators, and media professionals with tools and knowledge to teach solutions journalism. The cohort will explore how to deliver effective training sessions and integrate solutions journalism into curriculum and newsroom practice.",Information Not Available,Information Not Available,"Journalists, educators, media trainers worldwide who can attend a virtual training.","Journalists, journalism educators/trainers",Global,Information Not Available,https://www.solutionsjournalism.org/events/apply-now-train-trainers-december-2025-cohort,A virtual training program for global media professionals to learn how to train others in solutions journalism.,Approved,,,,
Reporting Fellow – NYT 2026 Fellowship,The New York Times,"One-year in-office fellowship for early-career reporters to work across various NYT desks. Fellows deliver reporting assignments, participate in training, and gain newsroom experience.","$82,414.80 annual salary","$82,414.80 annual salary","Early-career journalists with ≤5 years of professional experience; must submit resume, cover letter, and 5 clips; must be authorized to work in the U.S.; only one fellowship application allowed per cycle.",Journalists,United States,Not Applicable,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4618243005,"Full-time, year-long newsroom fellowship at NYT starting June 2026.",Approved,,,,
Photographer Fellow – NYT 2026 Fellowship,The New York Times,"Fellowship to work with NYT photo editors covering news and enterprise assignments. Fellows will learn photojournalism ethics, editing, and storytelling, while producing original photo and video content for news coverage.","$82,414.80 annual salary","$82,414.80 annual salary",≤5 years full-time professional photojournalism experience; photo portfolio required; U.S. work authorization; understanding of photo ethics and ability to cover news under deadlines.,Photojournalists,United States,Not Applicable,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4618262005,Photojournalism training opportunity for early-career photographers at NYT.,Approved,,,,
FASPE Journalism Fellowship,FASPE (Fellowships at Auschwitz for the Study of Professional Ethics),"An intensive, two-week fully funded program held in New York, Berlin, and Poland that challenges journalism students and early-career journalists to critically examine ethical issues in the profession using historical and contemporary contexts. Fellows explore journalism's complicity during the Nazi era and reflect on ethics in journalism today.","Fully funded (travel, lodging, meals covered)","Fully funded (travel, lodging, meals covered)",Applicants must either: 1) have some journalistic experience and be enrolled in a graduate program; OR 2) have completed an undergraduate degree and are working as a journalist; OR 3) have completed a graduate degree and are working as a journalist. Total professional experience should generally not exceed 10 years. Preference for those with published work. Open to all backgrounds; U.S. and international applicants welcome.,Journalism students and early-career journalists,Global,Not Applicable,https://www.faspe-ethics.org/journalism/,restigious program exploring professional ethics for early-career journalists through historical immersion.,Approved,,,,
Knight-Bagehot Fellowship,Columbia Journalism School,"A one-year fellowship at Columbia University focused on business, economics, and finance journalism. Includes coursework at Columbia’s Graduate School of Journalism and Business School. Fellows are immersed in academic and professional learning, required to relocate to NYC and not permitted to work during the fellowship.",Living stipend (amount varies annually); tuition-free enrollment at Columbia University,Living stipend (amount varies annually); tuition-free enrollment at Columbia University,"Professional journalists (freelance or employed full-time); minimum four years’ experience in business/economics/finance journalism; bachelor’s degree or equivalent; open to global applicants; must submit resume, essays, work samples, transcript, English proficiency, and three recommendation letters.",Journalists,Global,Not Applicable,https://journalism.columbia.edu/kb-apply,Prestigious academic fellowship for experienced business journalists at Columbia University.,Approved,,,,
Conflict and Peace Reporting Grant,Pulitzer Center,"Supports projects on conflict, peace-building, and post-war recovery worldwide.",Tailored project support; travel and research included.,Tailored project support; travel and research included.,Journalists with conflict-reporting experience or interest.,Investigative/Peace journalism,Global,NA,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/conflict-peace,Seeks deeply contextual reporting on conflict resolution.,Approved,,,,
2026 National Hearst Journalism Fellowship Program,Hearst Newspapers,"A 2-year paid fellowship offering rotations in Hearst newspapers (e.g., SF Chronicle, Houston Chronicle, etc.) for early-career journalists focused on reporting and storytelling.",Paid full-time fellowship,Paid full-time fellowship,"Early-career journalists with digital-first sensibilities, commitment to public service journalism; must submit resume, clips, cover letter, references, and recommendations.","Journalists, Media Professionals","U.S. (San Francisco, Houston, San Antonio, Albany, CT, etc.)",Not required,https://eevd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2025267/?utm_medium=jobshare&utm_source=External+Job+Share,Prestigious two-year program designed to launch careers in impactful local journalism across Hearst publications.,Approved,,,,
Adenauer Fellowship for Media & Communication in Asia,Konrad Adenauer Stiftung (KAS) – Media Programme Asia,"A scholarship programme supporting journalists in Asia wanting to pursue a degree, diploma or practical traineeship in media/journalism, including financial support, social networking, and learning opportunities.","Post‑graduate students: Semester grant of 500 EUR or one‑time fellowship allowance of 700 EUR + tuition fees up to 6,000 EUR: Practical traineeships: Monthly fellowship allowance (amount not specified)","Post‑graduate students: Semester grant of 500 EUR or one‑time fellowship allowance of 700 EUR + tuition fees up to 6,000 EUR: Practical traineeships: Monthly fellowship allowance (amount not specified)","Applicants from Asia (excluding Middle East; Must apply to a partner institution; Hold a university degree (e.g., Bachelor's); Proven journalistic experience; Fluent in English (minimum C1)",Journalists and communication professionals in Asia seeking further education/training in journalism/media,Asia (excluding Middle East),Information Not Available,https://adenauer.careers/,A competitive fellowship offering both academic and practical paths for journalists in Asia with financial support and network access.,Approved,,,,
Al Jazeera Fellowship Programme,Al Jazeera Media Institute (AJMI),"A 3-month research fellowship offering journalists and media scholars the opportunity to explore underreported issues in the Global South. Fellows produce a 7,000-word policy or research paper with editorial guidance, including one month in residence at Al Jazeera’s headquarters in Doha.",Not specified,Not specified,"Journalists or researchers with 4+ years experience, bachelor's degree, fluent English, non-Arab nationality",ournalists and media researchers,Global South (non-Arab countries),Not required,https://institute.aljazeera.net/en/fellowship#overview,Supports in-depth research into journalism challenges and innovation in the Global South through both remote and on-site engagement.,Approved,,,,
Chulalongkorn University Media Fellowship 2026,Chulalongkorn University,"A 3-week on-site fellowship in Bangkok for mid-career journalists to explore how media can address sustainability challenges. Fellows participate in workshops, site visits, and collaborative projects tied to Thailand’s sustainability landscape.","Travel, accommodation, and living expenses covered","Travel, accommodation, and living expenses covered",Mid-career journalists with strong English skills; must submit a story pitch and resume,Journalists focused on sustainability and development,Global,Not required,https://www.chula.ac.th/en/news/266131/,This fellowship emphasizes cross-cultural reporting and sustainable development themes through immersive fieldwork in Thailand.,Approved,,,,
WPI Fellowship Program 2026,World Press Institute,"A fully funded, 9-week cross-country U.S. fellowship for 10 international journalists to explore U.S. media, press freedom, culture, and political issues through site visits, expert sessions, and reporting experiences.","Round-trip airfare, in-country travel, lodging, daily meal stipend","Round-trip airfare, in-country travel, lodging, daily meal stipend","Non-U.S. journalists with 5+ years of full-time experience in newsrooms, fluent in English, currently employed in journalism",Mid-career international journalists,Global (excluding U.S.),Not required,https://worldpressinstitute.org/fellowships/,Provides global journalists with a deep dive into U.S. journalism systems and press freedom through immersive professional exposure.,Approved,,,,
Tech Journalism Fund,Omidyar Network,"Provides $5,000–$25,000 grants to US-based journalists for in-depth reporting projects on the intersection of technology and society, with emphasis on AI governance, workplace impacts, youth and families, and key actors in tech.","$5,000–$25,000 per project","$5,000–$25,000 per project","US-based journalists: freelancers, staff, editors, or teams. Must submit a detailed budget.",Individual journalists across any medium covering tech-society issues,United States,Not required,https://omidyar.com/where-we-focus/tech-journalism-fund/,"Supports editorially independent journalism investigating societal impacts of tech, prioritizing depth over product or design innovation.",Approved,,,,
Official Development Assistance (ODA) Germany Grants,European Journalism Centre (EJC) / Global Forum for Media Development (GFMD),"Supports journalism projects that report on Germany’s foreign aid (ODA), including its policies, effectiveness, and global impact, encouraging in-depth, explanatory, and data-driven journalism.","€5,000 to €15,000 per project","€5,000 to €15,000 per project","Open to German media outlets, individual freelancers based in Germany, or collaborative projects involving German journalists and media in aid-recipient countries.","Journalists and media organisations covering foreign aid, development, and global policy",Germany-based applicants; can include cross-border partnerships with countries receiving German aid,Partnerships allowed but not mandatory; collaborations with media in aid-recipient countries encouraged,https://gfmd.info/fundings/official-development-assistance-oda-germany-grants/,Designed to support explanatory and solutions-focused journalism on foreign aid and development policy,Approved,,,,
Columbia Journalism School – INN Fellowship Program,Columbia Journalism School & INN,"Paid fellowships placing recent M.S./M.A. graduates at nonprofit news organisations for investigative, explanatory and data reporting.","Paid, full-time fellowships (12–22 weeks)","Paid, full-time fellowships (12–22 weeks)",Recent M.S./M.A. journalism graduates (as per program guidelines),Journalists and nonprofit newsrooms,Global (primarily U.S.-based nonprofit newsrooms within INN network),Host newsrooms apply to participate and are matched with fellows,https://inn.org/resources/internships-fellowships/,Paid opportunity for early-career journalists to work in nonprofit investigative journalism.,Approved,,,,
AJI Reporting Fellowship (2026–2028 Class),Allbritton Journalism Institute (AJI),"A two-year full-time fellowship combining classroom training and hands-on reporting at NOTUS newsroom, focused on policy and government journalism. Fellows are mentored and produce original reporting.","$60,000/year salary + $1,500 moving allowance + health benefits + paid time off","$60,000/year salary + $1,500 moving allowance + health benefits + paid time off","Open to early-career journalists, recent grads, career-changers; no prior journalism experience required. Must relocate to Washington, D.C., U.S.",Aspiring political/policy journalists,"Global (must be willing to relocate to Washington, D.C.)",Not applicable,https://aji.org/,A paid entry-level fellowship offering real newsroom experience and structured journalism training.,Approved,,,,
Seed Grant,Fund for Investigative Journalism (FIJ),"Provides funding for preliminary reporting, research trips, or public records requests for potential investigations.","Up to $2,500","Up to $2,500",Journalists or outlets; no need for a publication commitment,Freelance and staff journalists initiating investigative stories,Primarily U.S. focus; U.S. angle required,No publication commitment required at this stage,https://fij.org/apply-for-a-grant/,Enables early exploration of investigative leads before full project commitment,Approved,,,,
Rainforest Reporting Grant,Pulitzer Center,"Supports reporting on tropical rainforests, biodiversity loss, deforestation, and indigenous land rights.",Funding varies per project; includes travel and reporting costs.,Funding varies per project; includes travel and reporting costs.,Freelance or staff journalists with environmental reporting experience.,Environmental/Investigative journalism,Global (focus on tropical regions),Collaboration with local communities encouraged.,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/rainforest-reporting-grant,"Ideal for projects linking environment, policy, and human impact.",Approved,,,,
Official Development Assistance (ODA) Germany Grants,European Journalism Centre (EJC),"Supports journalism projects that investigate German foreign aid (ODA) through in-depth, data-driven and solutions-oriented reporting. Themes include global development, human rights, health, climate, migration and other ODA-relevant sectors.","€5,000 – €15,000 per project","€5,000 – €15,000 per project","Independent and regional German media outlets, Germany-based freelancers, journalist teams, and partnerships between German journalists and media in recipient countries.","Journalists, media organizations, freelance reporters focusing on ODA-related sectors",Global (reporting must relate to countries receiving German aid),Cross-border collaborations encouraged; partnerships between German and recipient country journalists/media allowed,https://ejc.net/funding/official-development-assistance-oda-germany-grants,"Strong opportunity for global development reporting tied to Germany’s ODA, with flexible funding and collaboration potential.",Approved,,,,
Global Media Defence Fund (GMDF) 2025,UNESCO,"Supports non-profit organizations that promote media freedom and protect journalists through legal assistance, strategic litigation, and investigative journalism. Aims to strengthen legal protection for journalists, reduce impunity for crimes against them, and promote media freedom.","USD 15,000 – USD 50,000 per project","USD 15,000 – USD 50,000 per project","Legally registered non-profit organizations (local, regional, or global NGOs, foundations, academic institutions). UNGM registration not mandatory.","Media freedom NGOs, legal advocacy groups, academic institutions, and journalist protection organizations",Global,"No consortium requirement, but only registered non-profits may apply; partnerships permitted among eligible organizations",https://gfmd.info/fundings/global-media-defence-fund-gmdf-2025/,"Global grant for legal and institutional support of journalists and press freedom initiatives, with a strong human rights and legal defense focus.",Approved,,,,
Fellowship for Advancing Science Journalism in Africa and the Middle East,Knight Science Journalism Program at MIT (sponsored by Springer Nature),"A one-semester fellowship at MIT for journalists from Africa and the Middle East focused on science, health, or environmental journalism, offering academic enrichment and professional development.","$40,000 stipend for one semester; MIT health insurance; travel and housing stipend; access to MIT libraries, museums, and workshops; inclusion in the KSJ community.","$40,000 stipend for one semester; MIT health insurance; travel and housing stipend; access to MIT libraries, museums, and workshops; inclusion in the KSJ community.","Journalists with at least 3 years’ experience reporting on science, health, or environment; based in Africa or the Middle East; must be proficient in English.","Journalists, media professionals in science, health, or environmental reporting.",Africa and Middle East,Not required.,https://ksj.mit.edu/fellowships/africa-middle-east-fellowship/,Prestigious MIT-based opportunity to develop science journalism expertise for journalists from Africa and the Middle East.,Approved,,,,
